state,last_changed
822,2025-09-19T04:07:06.786Z
806,2025-09-19T04:07:08.760Z
787,2025-09-19T04:07:10.722Z
779,2025-09-19T04:07:18.765Z
768,2025-09-19T04:07:20.763Z
760,2025-09-19T04:07:22.738Z
750,2025-09-19T04:07:24.710Z
746,2025-09-19T04:07:26.664Z
740,2025-09-19T04:07:28.640Z
732,2025-09-19T04:07:30.657Z
726,2025-09-19T04:07:32.618Z
712,2025-09-19T04:07:40.665Z
701,2025-09-19T04:07:42.637Z
692,2025-09-19T04:07:44.609Z
677,2025-09-19T04:07:46.569Z
676,2025-09-19T04:07:48.542Z
673,2025-09-19T04:07:50.510Z
671,2025-09-19T04:07:52.484Z
667,2025-09-19T04:07:54.457Z
664,2025-09-19T04:08:02.531Z
671,2025-09-19T04:08:04.499Z
664,2025-09-19T04:08:06.468Z
653,2025-09-19T04:08:08.439Z
645,2025-09-19T04:08:10.431Z
637,2025-09-19T04:08:12.401Z
632,2025-09-19T04:08:14.367Z
630,2025-09-19T04:08:16.338Z
626,2025-09-19T04:08:24.377Z
613,2025-09-19T04:08:26.352Z
612,2025-09-19T04:08:28.327Z
606,2025-09-19T04:08:30.322Z
605,2025-09-19T04:08:32.256Z
606,2025-09-19T04:08:34.227Z
609,2025-09-19T04:08:36.190Z
614,2025-09-19T04:08:38.155Z
617,2025-09-19T04:08:46.199Z
618,2025-09-19T04:08:48.182Z
617,2025-09-19T04:08:54.082Z
618,2025-09-19T04:08:56.066Z
616,2025-09-19T04:08:58.028Z
617,2025-09-19T04:09:00.000Z
620,2025-09-19T04:09:08.035Z
618,2025-09-19T04:09:13.952Z
613,2025-09-19T04:09:15.923Z
615,2025-09-19T04:09:17.885Z
624,2025-09-19T04:09:19.847Z
625,2025-09-19T04:09:21.820Z
632,2025-09-19T04:09:29.911Z
636,2025-09-19T04:09:31.842Z
638,2025-09-19T04:09:33.842Z
645,2025-09-19T04:09:35.800Z
647,2025-09-19T04:09:37.766Z
642,2025-09-19T04:09:39.753Z
651,2025-09-19T04:09:43.688Z
657,2025-09-19T04:09:51.983Z
672,2025-09-19T04:09:53.966Z
686,2025-09-19T04:09:55.929Z
698,2025-09-19T04:09:57.902Z
709,2025-09-19T04:09:59.858Z
730,2025-09-19T04:10:01.828Z
743,2025-09-19T04:10:03.796Z
759,2025-09-19T04:10:05.765Z
786,2025-09-19T04:10:13.814Z
816,2025-09-19T04:10:15.821Z
839,2025-09-19T04:10:17.784Z
865,2025-09-19T04:10:19.749Z
889,2025-09-19T04:10:21.715Z
897,2025-09-19T04:10:23.680Z
